<Unicode>,<Unicode Name>,<Glyph Name>,<Adobe Character Sets>,<Unicode block>,<Non-Unicode type>,"<Status> # A=Already in, T=To be added, C=Under consideration, D=To be deleted","<Source> # R=Regular, B=Bold, I=Italic, X=Bold Italic, N=New, S=Special",<Fira Glyph>
U+0020,SPACE,uni0020,AL3,C0 Controls and Basic Latin,,A,R,
U+0021,EXCLAMATION MARK,uni0021,AL3,C0 Controls and Basic Latin,,A,R,
U+0022,QUOTATION MARK,uni0022,AL3,C0 Controls and Basic Latin,,A,R,
U+0023,NUMBER SIGN,uni0023,AL3,C0 Controls and Basic Latin,,A,R,
U+0024,DOLLAR SIGN,uni0024,AL3,C0 Controls and Basic Latin,,A,R,
U+0025,PERCENT SIGN,uni0025,AL3,C0 Controls and Basic Latin,,A,R,
U+0026,AMPERSAND,uni0026,AL3,C0 Controls and Basic Latin,,A,R,
U+0027,APOSTROPHE,uni0027,AL3,C0 Controls and Basic Latin,,A,R,
U+0028,LEFT PARENTHESIS,uni0028,AL3,C0 Controls and Basic Latin,,A,R,
U+0029,RIGHT PARENTHESIS,uni0029,AL3,C0 Controls and Basic Latin,,A,R,
U+002A,ASTERISK,uni002A,AL3,C0 Controls and Basic Latin,,A,R,
U+002B,PLUS SIGN,uni002B,AL3,C0 Controls and Basic Latin,,A,R,
U+002C,COMMA,uni002C,AL3,C0 Controls and Basic Latin,,A,R,
U+002D,HYPHEN-MINUS,uni002D,AL3,C0 Controls and Basic Latin,,A,R,
U+002E,FULL STOP,uni002E,AL3,C0 Controls and Basic Latin,,A,R,
U+002F,SOLIDUS,uni002F,AL3,C0 Controls and Basic Latin,,A,R,
U+0030,DIGIT ZERO,uni0030,AL3,C0 Controls and Basic Latin,,A,R,
U+0031,DIGIT ONE,uni0031,AL3,C0 Controls and Basic Latin,,A,R,
U+0032,DIGIT TWO,uni0032,AL3,C0 Controls and Basic Latin,,A,R,
U+0033,DIGIT THREE,uni0033,AL3,C0 Controls and Basic Latin,,A,R,
U+0034,DIGIT FOUR,uni0034,AL3,C0 Controls and Basic Latin,,A,R,
U+0035,DIGIT FIVE,uni0035,AL3,C0 Controls and Basic Latin,,A,R,
U+0036,DIGIT SIX,uni0036,AL3,C0 Controls and Basic Latin,,A,R,
U+0037,DIGIT SEVEN,uni0037,AL3,C0 Controls and Basic Latin,,A,R,
U+0038,DIGIT EIGHT,uni0038,AL3,C0 Controls and Basic Latin,,A,R,
U+0039,DIGIT NINE,uni0039,AL3,C0 Controls and Basic Latin,,A,R,
U+003A,COLON,uni003A,AL3,C0 Controls and Basic Latin,,A,R,
U+003B,SEMICOLON,uni003B,AL3,C0 Controls and Basic Latin,,A,R,
U+003C,LESS-THAN SIGN,uni003C,AL3,C0 Controls and Basic Latin,,A,R,
U+003D,EQUALS SIGN,uni003D,AL3,C0 Controls and Basic Latin,,A,R,
U+003E,GREATER-THAN SIGN,uni003E,AL3,C0 Controls and Basic Latin,,A,R,
U+003F,QUESTION MARK,uni003F,AL3,C0 Controls and Basic Latin,,A,R,
U+0040,COMMERCIAL AT,uni0040,AL3,C0 Controls and Basic Latin,,A,R,
U+0041,LATIN CAPITAL LETTER A,uni0041,AL3,C0 Controls and Basic Latin,,A,R,
U+0042,LATIN CAPITAL LETTER B,uni0042,AL3,C0 Controls and Basic Latin,,A,R,
U+0043,LATIN CAPITAL LETTER C,uni0043,AL3,C0 Controls and Basic Latin,,A,R,
U+0044,LATIN CAPITAL LETTER D,uni0044,AL3,C0 Controls and Basic Latin,,A,R,
U+0045,LATIN CAPITAL LETTER E,uni0045,AL3,C0 Controls and Basic Latin,,A,R,
U+0046,LATIN CAPITAL LETTER F,uni0046,AL3,C0 Controls and Basic Latin,,A,R,
U+0047,LATIN CAPITAL LETTER G,uni0047,AL3,C0 Controls and Basic Latin,,A,R,
U+0048,LATIN CAPITAL LETTER H,uni0048,AL3,C0 Controls and Basic Latin,,A,R,
U+0049,LATIN CAPITAL LETTER I,uni0049,AL3,C0 Controls and Basic Latin,,A,R,
U+004A,LATIN CAPITAL LETTER J,uni004A,AL3,C0 Controls and Basic Latin,,A,R,
U+004B,LATIN CAPITAL LETTER K,uni004B,AL3,C0 Controls and Basic Latin,,A,R,
U+004C,LATIN CAPITAL LETTER L,uni004C,AL3,C0 Controls and Basic Latin,,A,R,
U+004D,LATIN CAPITAL LETTER M,uni004D,AL3,C0 Controls and Basic Latin,,A,R,
U+004E,LATIN CAPITAL LETTER N,uni004E,AL3,C0 Controls and Basic Latin,,A,R,
U+004F,LATIN CAPITAL LETTER O,uni004F,AL3,C0 Controls and Basic Latin,,A,R,
U+0050,LATIN CAPITAL LETTER P,uni0050,AL3,C0 Controls and Basic Latin,,A,R,
U+0051,LATIN CAPITAL LETTER Q,uni0051,AL3,C0 Controls and Basic Latin,,A,R,
U+0052,LATIN CAPITAL LETTER R,uni0052,AL3,C0 Controls and Basic Latin,,A,R,
U+0053,LATIN CAPITAL LETTER S,uni0053,AL3,C0 Controls and Basic Latin,,A,R,
U+0054,LATIN CAPITAL LETTER T,uni0054,AL3,C0 Controls and Basic Latin,,A,R,
U+0055,LATIN CAPITAL LETTER U,uni0055,AL3,C0 Controls and Basic Latin,,A,R,
U+0056,LATIN CAPITAL LETTER V,uni0056,AL3,C0 Controls and Basic Latin,,A,R,
U+0057,LATIN CAPITAL LETTER W,uni0057,AL3,C0 Controls and Basic Latin,,A,R,
U+0058,LATIN CAPITAL LETTER X,uni0058,AL3,C0 Controls and Basic Latin,,A,R,
U+0059,LATIN CAPITAL LETTER Y,uni0059,AL3,C0 Controls and Basic Latin,,A,R,
U+005A,LATIN CAPITAL LETTER Z,uni005A,AL3,C0 Controls and Basic Latin,,A,R,
U+005B,LEFT SQUARE BRACKET,uni005B,AL3,C0 Controls and Basic Latin,,A,R,
U+005C,REVERSE SOLIDUS,uni005C,AL3,C0 Controls and Basic Latin,,A,R,
U+005D,RIGHT SQUARE BRACKET,uni005D,AL3,C0 Controls and Basic Latin,,A,R,
U+005E,CIRCUMFLEX ACCENT,uni005E,AL3,C0 Controls and Basic Latin,,A,R,
U+005F,LOW LINE,uni005F,AL3,C0 Controls and Basic Latin,,A,R,
U+0060,GRAVE ACCENT,uni0060,AL3,C0 Controls and Basic Latin,,A,R,
U+0061,LATIN SMALL LETTER A,uni0061,AL3,C0 Controls and Basic Latin,,A,R,
U+0062,LATIN SMALL LETTER B,uni0062,AL3,C0 Controls and Basic Latin,,A,R,
U+0063,LATIN SMALL LETTER C,uni0063,AL3,C0 Controls and Basic Latin,,A,R,
U+0064,LATIN SMALL LETTER D,uni0064,AL3,C0 Controls and Basic Latin,,A,R,
U+0065,LATIN SMALL LETTER E,uni0065,AL3,C0 Controls and Basic Latin,,A,R,
U+0066,LATIN SMALL LETTER F,uni0066,AL3,C0 Controls and Basic Latin,,A,R,
U+0067,LATIN SMALL LETTER G,uni0067,AL3,C0 Controls and Basic Latin,,A,R,
U+0068,LATIN SMALL LETTER H,uni0068,AL3,C0 Controls and Basic Latin,,A,R,
U+0069,LATIN SMALL LETTER I,uni0069,AL3,C0 Controls and Basic Latin,,A,R,
U+006A,LATIN SMALL LETTER J,uni006A,AL3,C0 Controls and Basic Latin,,A,R,
U+006B,LATIN SMALL LETTER K,uni006B,AL3,C0 Controls and Basic Latin,,A,R,
U+006C,LATIN SMALL LETTER L,uni006C,AL3,C0 Controls and Basic Latin,,A,R,
U+006D,LATIN SMALL LETTER M,uni006D,AL3,C0 Controls and Basic Latin,,A,R,
U+006E,LATIN SMALL LETTER N,uni006E,AL3,C0 Controls and Basic Latin,,A,R,
U+006F,LATIN SMALL LETTER O,uni006F,AL3,C0 Controls and Basic Latin,,A,R,
U+0070,LATIN SMALL LETTER P,uni0070,AL3,C0 Controls and Basic Latin,,A,R,
U+0071,LATIN SMALL LETTER Q,uni0071,AL3,C0 Controls and Basic Latin,,A,R,
U+0072,LATIN SMALL LETTER R,uni0072,AL3,C0 Controls and Basic Latin,,A,R,
U+0073,LATIN SMALL LETTER S,uni0073,AL3,C0 Controls and Basic Latin,,A,R,
U+0074,LATIN SMALL LETTER T,uni0074,AL3,C0 Controls and Basic Latin,,A,R,
U+0075,LATIN SMALL LETTER U,uni0075,AL3,C0 Controls and Basic Latin,,A,R,
U+0076,LATIN SMALL LETTER V,uni0076,AL3,C0 Controls and Basic Latin,,A,R,
U+0077,LATIN SMALL LETTER W,uni0077,AL3,C0 Controls and Basic Latin,,A,R,
U+0078,LATIN SMALL LETTER X,uni0078,AL3,C0 Controls and Basic Latin,,A,R,
U+0079,LATIN SMALL LETTER Y,uni0079,AL3,C0 Controls and Basic Latin,,A,R,
U+007A,LATIN SMALL LETTER Z,uni007A,AL3,C0 Controls and Basic Latin,,A,R,
U+007B,LEFT CURLY BRACKET,uni007B,AL3,C0 Controls and Basic Latin,,A,R,
U+007C,VERTICAL LINE,uni007C,AL3,C0 Controls and Basic Latin,,A,R,
U+007D,RIGHT CURLY BRACKET,uni007D,AL3,C0 Controls and Basic Latin,,A,R,
U+007E,TILDE,uni007E,AL3,C0 Controls and Basic Latin,,A,R,
U+00A0,NO-BREAK SPACE,uni00A0,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00A1,INVERTED EXCLAMATION MARK,uni00A1,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00A2,CENT SIGN,uni00A2,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00A3,POUND SIGN,uni00A3,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00A4,CURRENCY SIGN,uni00A4,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00A5,YEN SIGN,uni00A5,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00A6,BROKEN BAR,uni00A6,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00A7,SECTION SIGN,uni00A7,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00A8,DIAERESIS,uni00A8,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00A9,COPYRIGHT SIGN,uni00A9,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00AA,FEMININE ORDINAL INDICATOR,uni00AA,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00AB,LEFT-POINTING DOUBLE ANGLE QUOTATION MARK,uni00AB,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00AC,NOT SIGN,uni00AC,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00AD,SOFT HYPHEN,uni00AD,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00AE,REGISTERED SIGN,uni00AE,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00AF,MACRON,uni00AF,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00B0,DEGREE SIGN,uni00B0,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00B1,PLUS-MINUS SIGN,uni00B1,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00B2,SUPERSCRIPT TWO,uni00B2,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00B3,SUPERSCRIPT THREE,uni00B3,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00B4,ACUTE ACCENT,uni00B4,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00B5,MICRO SIGN,uni00B5,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00B6,PILCROW SIGN,uni00B6,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00B7,MIDDLE DOT,uni00B7,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00B8,CEDILLA,uni00B8,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00B9,SUPERSCRIPT ONE,uni00B9,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00BA,MASCULINE ORDINAL INDICATOR,uni00BA,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00BB,RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK,uni00BB,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00BC,VULGAR FRACTION ONE QUARTER,uni00BC,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00BD,VULGAR FRACTION ONE HALF,uni00BD,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00BE,VULGAR FRACTION THREE QUARTERS,uni00BE,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00BF,INVERTED QUESTION MARK,uni00BF,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00C0,LATIN CAPITAL LETTER A WITH GRAVE,uni00C0,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00C1,LATIN CAPITAL LETTER A WITH ACUTE,uni00C1,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00C2,LATIN CAPITAL LETTER A WITH CIRCUMFLEX,uni00C2,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00C3,LATIN CAPITAL LETTER A WITH TILDE,uni00C3,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00C4,LATIN CAPITAL LETTER A WITH DIAERESIS,uni00C4,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00C5,LATIN CAPITAL LETTER A WITH RING ABOVE,uni00C5,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00C6,LATIN CAPITAL LETTER AE,uni00C6,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00C7,LATIN CAPITAL LETTER C WITH CEDILLA,uni00C7,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00C8,LATIN CAPITAL LETTER E WITH GRAVE,uni00C8,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00C9,LATIN CAPITAL LETTER E WITH ACUTE,uni00C9,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00CA,LATIN CAPITAL LETTER E WITH CIRCUMFLEX,uni00CA,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00CB,LATIN CAPITAL LETTER E WITH DIAERESIS,uni00CB,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00CC,LATIN CAPITAL LETTER I WITH GRAVE,uni00CC,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00CD,LATIN CAPITAL LETTER I WITH ACUTE,uni00CD,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00CE,LATIN CAPITAL LETTER I WITH CIRCUMFLEX,uni00CE,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00CF,LATIN CAPITAL LETTER I WITH DIAERESIS,uni00CF,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00D0,LATIN CAPITAL LETTER ETH,uni00D0,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00D1,LATIN CAPITAL LETTER N WITH TILDE,uni00D1,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00D2,LATIN CAPITAL LETTER O WITH GRAVE,uni00D2,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00D3,LATIN CAPITAL LETTER O WITH ACUTE,uni00D3,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00D4,LATIN CAPITAL LETTER O WITH CIRCUMFLEX,uni00D4,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00D5,LATIN CAPITAL LETTER O WITH TILDE,uni00D5,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00D6,LATIN CAPITAL LETTER O WITH DIAERESIS,uni00D6,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00D7,MULTIPLICATION SIGN,uni00D7,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00D8,LATIN CAPITAL LETTER O WITH STROKE,uni00D8,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00D9,LATIN CAPITAL LETTER U WITH GRAVE,uni00D9,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00DA,LATIN CAPITAL LETTER U WITH ACUTE,uni00DA,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00DB,LATIN CAPITAL LETTER U WITH CIRCUMFLEX,uni00DB,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00DC,LATIN CAPITAL LETTER U WITH DIAERESIS,uni00DC,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00DD,LATIN CAPITAL LETTER Y WITH ACUTE,uni00DD,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00DE,LATIN CAPITAL LETTER THORN,uni00DE,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00DF,LATIN SMALL LETTER SHARP S,uni00DF,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00E0,LATIN SMALL LETTER A WITH GRAVE,uni00E0,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00E1,LATIN SMALL LETTER A WITH ACUTE,uni00E1,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00E2,LATIN SMALL LETTER A WITH CIRCUMFLEX,uni00E2,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00E3,LATIN SMALL LETTER A WITH TILDE,uni00E3,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00E4,LATIN SMALL LETTER A WITH DIAERESIS,uni00E4,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00E5,LATIN SMALL LETTER A WITH RING ABOVE,uni00E5,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00E6,LATIN SMALL LETTER AE,uni00E6,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00E7,LATIN SMALL LETTER C WITH CEDILLA,uni00E7,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00E8,LATIN SMALL LETTER E WITH GRAVE,uni00E8,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00E9,LATIN SMALL LETTER E WITH ACUTE,uni00E9,AL3,C1 Controls and Latin-1 Supplement,,A,R,
U+00EA,LATIN SMALL LETTER E WITH CIRCUMFLEX,uni00EA,AL3,C1 Controls and Latin-1 Supplement,,A,R,
