<Name>,<Thin>,<Regular>,<Ultra>
ScriptPercentScaleDown,,80,
ScriptScriptPercentScaleDown,,60,
DelimitedSubFormulaMinHeight,,1500,
DisplayOperatorMinHeight,,1500,
MathLeading,,150,
AxisHeight,,280,
AccentBaseHeight,,527,
FlattenedAccentBaseHeight,,689,
SubscriptShiftDown,,350,
SubscriptTopMax,,527,
SubscriptBaselineDropMin,,250,
SuperscriptShiftUp,,400,
SuperscriptShiftUpCramped,,270,
SuperscriptBottomMin,,130,
SuperscriptBaselineDropMax,,360,
SubSuperscriptGapMin,,200,
SuperscriptBottomMaxWithSubscript,,527,
SpaceAfterScript,,41,
UpperLimitGapMin,,150,
UpperLimitBaselineRiseMin,,150,
LowerLimitGapMin,,150,
LowerLimitBaselineDropMin,,600,
StackTopShiftUp,,450,
StackTopDisplayStyleShiftUp,,580,
StackBottomShiftDown,,480,
StackBottomDisplayStyleShiftDown,,700,
StackGapMin,,200,
StackDisplayStyleGapMin,,500,
StretchStackTopShiftUp,,300,
StretchStackBottomShiftDown,,600,
StretchStackGapAboveMin,,150,
StretchStackGapBelowMin,,150,
FractionNumeratorShiftUp,,450,
FractionNumeratorDisplayStyleShiftUp,,580,
FractionDenominatorShiftDown,,480,
FractionDenominatorDisplayStyleShiftDown,,700,
FractionNumeratorGapMin,,80,
FractionNumeratorDisplayStyleGapMin,,200,
FractionRuleThickness,20,76,166
FractionDenominatorGapMin,,80,
FractionDenominatorDisplayStyleGapMin,,200,
SkewedFractionHorizontalGap,,0,
SkewedFractionVerticalGap,,0,
OverbarVerticalGap,,150,
OverbarRuleThickness,,66,
OverbarExtraAscender,,50,
UnderbarVerticalGap,,150,
UnderbarRuleThickness,,66,
UnderbarExtraDescender,,50,
RadicalVerticalGap,,96,
RadicalDisplayStyleVerticalGap,,142,
RadicalRuleThickness,20,76,166
RadicalExtraAscender,20,76,166
RadicalKernBeforeDegree,,276,
RadicalKernAfterDegree,,-400,
RadicalDegreeBottomRaisePercent,,64,
MinConnectorOverlap,,20,
